cover_usa,release_date_usa,cover_jp,release_date_jp,volume,title
Apricot Sakuraba & Milfeulle Sakuraba,"January 26, 2007",Apricot Sakuraba,"June 21, 2006",1,Galaxy Angel II (3rd)
Apricot Sakuraba & Nano-Nano Pudding,"May 8, 2007",Kahlua/Tequila Marjoram,"October 21, 2006",2,Galaxy Angel II (3rd)
Apricot Sakuraba & Kahlua Marjoram,"October 28, 2007",Nano-Nano Pudding,"April 21, 2007",3,Galaxy Angel II (3rd)
,N/Y,Anise Azeat,"October 18, 2007",4,Galaxy Angel II (3rd)
,N/Y,Lily C. Sherbet,"June 21, 2008",5,Galaxy Angel II (3rd)
,N/Y,Apricot Sakuraba & Mimoza Fleur,"November 21, 2008",6,Galaxy Angel II (3rd)
